actual,proposed
0.30000463128089905,0.3076169192790985
0.3015044629573822,0.308847039937973
0.30300432443618774,0.31028369069099426
0.3045041859149933,0.31130096316337585
0.30600404739379883,0.31255462765693665
0.30750390887260437,0.31375715136528015
0.3090038001537323,0.314967542886734
0.15238399803638458,0.27641561627388
0.15276455879211426,0.2514230012893677
0.15529286861419678,0.23536445200443268
0.15776026248931885,0.2246742993593216
0.1601690798997879,0.2172781378030777
0.15519747138023376,0.21091985702514648
0.1531791090965271,0.20624537765979767
0.1467219442129135,0.20201104879379272
0.13588865101337433,0.197569340467453
0.12945690751075745,0.19347552955150604
0.11864502727985382,0.18906179070472717
0.10351292043924332,0.18390218913555145
0.0841178223490715,0.1778501570224762
0.06923216581344604,0.1716315895318985
0.05006934329867363,0.16468960046768188
0.026684356853365898,0.15693847835063934
0.003488851711153984,0.14885175228118896
0.0,0.14042425155639648
0.0,0.13127069175243378
0.0,0.1098938137292862
0.0,0.09891235828399658
0.0,0.08794153481721878
0.0,0.07698000967502594
0.0,0.06599202007055283
0.0,0.05551757663488388
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.05827883630990982
0.0,0.06224919110536575
0.0,0.06693048775196075
0.00997406430542469,0.07150285691022873
0.022319070994853973,0.0754878893494606
0.043141577392816544,0.08020497858524323
0.05925390496850014,0.0849110409617424
0.075090691447258,0.08936793357133865
0.09938178211450577,0.0950048640370369
0.11894083023071289,0.10072679072618484
0.1294858455657959,0.10550002753734589
0.15294551849365234,0.1112266331911087
0.1629919409751892,0.11603101342916489
0.17725719511508942,0.12070237845182419
0.19132819771766663,0.1253683716058731
0.20085477828979492,0.12949874997138977
0.20590564608573914,0.1327500343322754
0.2109055519104004,0.13546214997768402
0.22021591663360596,0.13841117918491364
0.2207016497850418,0.14039576053619385
0.22556547820568085,0.142351895570755
0.2260282337665558,0.14372913539409637
0.22215233743190765,0.14423368871212006
0.21835651993751526,0.14419801533222198
0.20591920614242554,0.14273974299430847
0.20239366590976715,0.14149893820285797
0.1858556866645813,0.13874806463718414
0.17391927540302277,0.13562741875648499
0.1577950268983841,0.13174445927143097
0.13753558695316315,0.12679265439510345
0.11754992604255676,0.12120440602302551
0.09782540798187256,0.11522448807954788
0.07399089634418488,0.10845266282558441
0.04609508067369461,0.10064788907766342
0.018543172627687454,0.09215306490659714
3.7017241993453354e-05,0.08434024453163147
0.0,0.07317598909139633
0.0,0.061490707099437714
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.004526791628450155,0.0
0.014730039983987808,0.0
0.024763567373156548,0.0
0.030275912955403328,0.0
0.031334370374679565,0.0
0.036721475422382355,0.0
0.037659935653209686,0.0
0.03857304900884628,0.0
0.04817967116832733,0.0509357713162899
0.05328323692083359,0.05247493088245392
0.06266822665929794,0.05455257371068001
0.05884190648794174,0.05539307743310928
0.050709523260593414,0.05483653396368027
0.03832881897687912,0.05296371504664421
0.030473140999674797,0.050791818648576736
0.027074240148067474,0.0
0.019349420443177223,0.0
0.01607506535947323,0.0
0.012827565893530846,0.0
0.013964492827653885,0.0
0.006347143556922674,0.0
0.0031744157895445824,0.0
2.2924399672774598e-05,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.24316257238388062,0.0
0.24158048629760742,0.19511778652668
